CGLM ;   nostress ; 114 ;   0.000000
CGLM ;   nostress ; 115 ;   0.000000
CGLM ;   nostress ; 116 ;   0.000000
CGLM ;   nostress ; 117 ;   0.000000
CGLM ;   nostress ; 118 ;   0.000000
CGLM ;   nostress ; 119 ;   0.000000
DGLM ;     WithSx ; 0 ; 17865066963.175034
DGLM ;     WithSx ; 1 ; 17433362355.778767
DGLM ;     WithSx ; 2 ; 16895327819.087294
DGLM ;     WithSx ; 3 ; 16514327413.197449
DGLM ;     WithSx ; 4 ; 16172268589.500584
DGLM ;     WithSx ; 5 ; 15865385040.907396
DGLM ;     WithSx ; 6 ; 15753632380.839005
DGLM ;     WithSx ; 7 ; 15487820095.859482
DGLM ;     WithSx ; 8 ; 15393967694.789766
DGLM ;     WithSx ; 9 ; 15209702248.491728
DGLM ;     WithSx ; 10 ; 14988608371.643188
DGLM ;     WithSx ; 11 ; 14812134855.629196
DGLM ;     WithSx ; 12 ; 14667242619.877201
DGLM ;     WithSx ; 13 ; 14521264322.733723
DGLM ;     WithSx ; 14 ; 14379535602.844603
DGLM ;     WithSx ; 15 ; 14235315859.847155
DGLM ;     WithSx ; 16 ; 14072667007.070034
DGLM ;     WithSx ; 17 ; 13934745937.640900
DGLM ;     WithSx ; 18 ; 13767135855.094538
DGLM ;     WithSx ; 19 ; 13609832202.749323
DGLM ;     WithSx ; 20 ; 13440923927.891573
DGLM ;     WithSx ; 21 ; 13256325158.131111
DGLM ;     WithSx ; 22 ; 13067702633.682129
DGLM ;     WithSx ; 23 ; 12898373520.561928
DGLM ;     WithSx ; 24 ; 12728115230.207304
DGLM ;     WithSx ; 25 ; 12570880010.320831
DGLM ;     WithSx ; 26 ; 12408323408.638414
DGLM ;     WithSx ; 27 ; 12305375880.451006
DGLM ;     WithSx ; 28 ; 12171276913.936831
DGLM ;     WithSx ; 29 ; 12060539133.089645
DGLM ;     WithSx ; 30 ; 11976264071.908802
DGLM ;     WithSx ; 31 ; 11970026624.381905
DGLM ;     WithSx ; 32 ; 11992006130.119644
DGLM ;     WithSx ; 33 ; 12023235173.904110
DGLM ;     WithSx ; 34 ; 12081845114.412983
DGLM ;     WithSx ; 35 ; 12167455336.055252
DGLM ;     WithSx ; 36 ; 12305629717.052807
DGLM ;     WithSx ; 37 ; 12440126785.861603
DGLM ;     WithSx ; 38 ; 12571249339.194431
DGLM ;     WithSx ; 39 ; 12760889970.535223
DGLM ;     WithSx ; 40 ; 12921280203.006926
DGLM ;     WithSx ; 41 ; 13135644278.240520
DGLM ;     WithSx ; 42 ; 13457252217.534956
DGLM ;     WithSx ; 43 ; 13837152255.489622
DGLM ;     WithSx ; 44 ; 14305029724.825296
DGLM ;     WithSx ; 45 ; 14801763132.991880
DGLM ;     WithSx ; 46 ; 15465321227.339796
DGLM ;     WithSx ; 47 ; 16105149007.306755
DGLM ;     WithSx ; 48 ; 16813998803.857548
DGLM ;     WithSx ; 49 ; 16971835820.306265
DGLM ;     WithSx ; 50 ; 17143623035.074717
DGLM ;     WithSx ; 51 ; 17231967982.277290
DGLM ;     WithSx ; 52 ; 17120695180.627417
DGLM ;     WithSx ; 53 ; 16970897451.109196
DGLM ;     WithSx ; 54 ; 16760642889.419605
