  & DAV2008T Male NonSmoker &  DAV2008T Male Smoker   & DAV2008T Female NonSmoker &  DAV2008T Female Smoker &  DAV2008P Male &  DAV2008P Female   
90 & 0.164792 & 0.190761 & 0.242648 & 0.206650 & 0.211715 & 0.257305 
91 & 0.182792 & 0.206673 & 0.255655 & 0.219168 & 0.235254 & 0.287368 
92 & 0.201453 & 0.222933 & 0.268635 & 0.231470 & 0.259344 & 0.317428 
93 & 0.219863 & 0.239433 & 0.281813 & 0.243168 & 0.283987 & 0.347485 
94 & 0.237813 & 0.256125 & 0.294800 & 0.253984 & 0.309182 & 0.377540 
95 & 0.255996 & 0.272931 & 0.307866 & 0.265468 & 0.334929 & 0.407592 
96 & 0.274491 & 0.289797 & 0.321095 & 0.274491 & 0.361228 & 0.437641 
97 & 0.292905 & 0.306997 & 0.334319 & 0.292905 & 0.388078 & 0.467687 
98 & 0.311537 & 0.324694 & 0.348396 & 0.311537 & 0.415481 & 0.497731 
99 & 0.330385 & 0.342733 & 0.362612 & 0.330385 & 0.443436 & 0.527772 
100 & 0.349446 & 0.361062 & 0.377310 & 0.349446 & 0.471943 & 0.557810 
101 & 0.368713 & 0.379675 & 0.392584 & 0.368713 & 0.501002 & 0.587845 
102 & 0.388182 & 0.398564 & 0.408529 & 0.388182 & 0.530612 & 0.617878 
103 & 0.407846 & 0.417759 & 0.424861 & 0.407846 & 0.560775 & 0.647908 
104 & 0.427697 & 0.437213 & 0.442022 & 0.427697 & 0.591490 & 0.677935 
105 & 0.447726 & 0.456916 & 0.460114 & 0.447726 & 0.622757 & 0.70796 
106 & 0.467921 & 0.477006 & 0.477006 & 0.467921 & 0.654576 & 0.737981 
107 & 0.488271 & 0.497189 & 0.497189 & 0.488271 & 0.686947 & 0.768001 
108 & 0.508762 & 0.517650 & 0.517650 & 0.508762 & 0.719869 & 0.798017 
109 & 0.529376 & 0.538377 & 0.538377 & 0.529376 & 0.753344 & 0.828030 
110 & 0.550097 & 0.559353 & 0.559353 & 0.550097 & 0.787371 & 0.858041 
111 & 0.570904 & 0.580560 & 0.580560 & 0.570904 & 0.821950 & 0.888050 
112 & 0.591772 & 0.601975 & 0.601975 & 0.591772 & 0.857081 & 0.918055 
113 & 0.612677 & 0.623571 & 0.623571 & 0.612677 & 0.892764 & 0.948058 
114 & 0.633589 & 0.645315 & 0.645315 & 0.633589 & 0.928999 & 0.978058 
115 & 0.654476 & 0.667170 & 0.667170 & 0.654476 & 0.965786 & 1.000000 
116 & 0.675302 & 0.689091 & 0.689091 & 0.675302 & 1.000000 & 1.000000 
117 & 0.696026 & 0.711028 & 0.711028 & 0.696026 & 1.000000 & 1.000000 
118 & 0.716604 & 0.732920 & 0.732920 & 0.716604 & 1.000000 & 1.000000 
119 & 0.736988 & 0.754701 & 0.754701 & 0.736988 & 1.000000 & 1.000000 
120 & 0.757123 & 0.776292 & 0.776292 & 0.757123 & 1.000000 & 1.000000 
121 & 1.000000 & 1.000000 & 1.000000 & 1.000000 & 1.000000 & 1.000000 
